;Nº DO CHAMADO;DATA DE CRIAÇÃO;RESPONSÁVEL;DATA DA VISTORIA;PRIORIDADE;STATUS;DESCRICÃO DO PROBLEMA;Colunas2;Colunas1;Coluna2;LOGRADOURO;BAIRRO;CONTATO;CENTRO DE CUSTO;SOLICITANTE;ORIGEM DA DEMANDA;DATA DE INICIO;DURAÇÃO PREVISTA;TÉRMINO PREVISTO;TÉRMINO REAL;% CONCLUÍDA;DIAS DE ATRASO;;Base de dados AB;;Prioridade;STATUS;QTD.;%;;;;;;;
45;45/2020 - SME;13/02/2020;GENIVAL;;MÉDIA;RESOLVIDO;MANUTENÇÃO NOS CHUVEIROS VEST. MASCULINO;ELÉTRICA;CENTRO DE APOIO REGIÃO CENTRAL;;RUA JACOB BITTENCOURT, 100;JD. SÃO ROBERTO;0;0001-16-17;GOR;E-MAIL;;;;;;;;1;45;;;;;;;;;;;
46;46/2020 - SME;13/02/2020;GENIVAL;;MÉDIA;AGUARDANDO VISTORIA;REFLETORES QUEIMADOS NA AREA EXTERNA;ELÉTRICA;CENTRO DE APOIO REGIÃO CENTRAL;;RUA JACOB BITTENCOURT, 100;JD. SÃO ROBERTO;0;0001-16-17;GOR;E-MAIL;;;;;;;;1;46;;;;;;;;;;;
47;47/2020 - SME;14/02/2020;GENIVAL;;MÉDIA;RESOLVIDO;SOLICITAMOS UMA EQUIPE PARA INSTALAR UM PONTO DE LUZ NO CANIL DA REGIONAL CABUÇU.;ELÉTRICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;NICHOLAS;E-MAIL;;;;;;;;1;47;;;;;;;;;;;
48;48/2020 - SME;14/02/2020;GENIVAL;;MÉDIA;AGUARDANDO VISTORIA;SOLICITAMOS A GENTILEZA DE VERIFICAR NO DEPARTAMENTO JURÍDICO SALA 173, A PAREDE PRÓXIMO A BOMBA DE ÁGUA, ONDE ENCONTRA-SE COM UMIDADE E O REBOQUE DA PAREDE ESTA CAINDO, SOLICITAMOS A GENTILEZA DE VERIFICAR E PROVIDÊNCIAS NECESSÁRIAS.;CIVIL;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;IDALINA;E-MAIL;;;;;;;;1;48;;;;;;;;;;;
49;49/2020 - SME;14/02/2020;GENIVAL;;MÉDIA;AGUARDANDO VISTORIA;GOTEIRA NO TETO DA SALA DE TRANSPORTE LEVE, NECESSITA DE REVISÃO NO TELHADO;CARPINTARIA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;SANDRO DIAS;E-MAIL;;;;;;;;1;49;;;;;;;;;;;
50;50/2020 - SME;20/01/2020;GENIVAL;20/01/2020;BAIXA;RESOLVIDO;BANHEIRO ESTÁ PRECISANDO DE UMA MANUTENÇÃO EM UM VASO SANITÁRIO.  É NECESSÁRIO UMA TORRE DE ENTRADA PARA CAIXA ACOPLADA.;HIDRAULICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;NICHOLAS;E-MAIL;20/01/2020;1;20/01/2020;20/01/2020;100%;;;1;50;;;;;;;;;;;
51;51/2020 - SME;17/01/2020;GENIVAL;;MÉDIA;AGUARDANDO VISTORIA;CAMINHÃO COLIDIU NO MURO AO TENTAR ENTRAR COM O CAMINHÃO. CAUSANDO AVARIA DO LADO ESQUERDO SUPERIOR DO MURO, COMPROMETENDO O MOVIMENTO DO PORTÃO E PONDO EM RISCO A SEGURANÇA DE NOSSOS COLABORADORES. SOLICITAMOS A MANUTENÇÃO ASSIM QUE POSSÍVEL.;CIVIL;C. O. PIMENTAS;;RUA ARACY, 188;JARDIM LEBLON;2486 2728;0001-16-01;EDSON LIMA;E-MAIL;;;;;;;;1;51;;;;;;;;;;;
52;52/2020 - SME;17/02/2020;;;MÉDIA;AGUARDANDO VISTORIA;SOLICITAMOS O DESENTUPIMENTO DO VASO SANITÁRIO NO BANHEIRO MASCULINO DA MECÂNICA.;HIDRAULICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;GABRIEL MALFATO;E-MAIL;;;;;;;;1;52;;;;;;;;;;;
53;53/2020 - SME;18/02/2020;GENIVAL;;ALTA;AGUARDANDO VISTORIA;SOLICITAMOS POR GENTILEZA COM URGÊNCIA O REPARO NO PORTÃO DO C.O AEROPORTO E O CONSERTO DO CABO ELÉTRICO QUE FOI  ROMPIDO DEVIDO A UMA COLISÃO DE UMA MAQUINA COM O POSTE, ONDE FICA UM DOS POUCOS REFLETORES EM FUNCIONAMENTO QUE TEMOS NO LOCAL ESTAMOS FALANDO DE UM LOCAL QUE TEM UMA LOCALIZAÇÃO DESFAVORÁVEL, O POSTO JÁ APRESENTA UMA DEFICIÊNCIA MUITO GRANDE EM QUESTÃO A ILUMINAÇÃO E TEM HISTÓRICO DE INVASÃO NESTA UNIDADE, SE POSSÍVEL INSTALAR NOVOS PONTOS DE ILUMINAÇÃO.;SERRALHERIA;C. O. AEROPORTO;;AV. PAPA JOÃO PAULO, 2000;CUMBICA; 2484-7772;0001-16-01;DENIS ROBERTO;E-MAIL;;;;;;;;1;53;;;;;;;;;;;
54;54/2020 - SME;18/02/2020;GENIVAL;;MÉDIA;RESOLVIDO;VERIFICAR O BANHEIRO MASCULINO NO SEGUNDO ANDAR PRÓXIMO AO R.H, O MESMO ESTÁ ENTUPIDO;HIDRAULICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;54;;;;;;;;;;;
